Barangay,University,Distance (km),Time (mins),Rides
Talogtog,UP Manila School of Health Sciences - Tarlac,81.24,72.8,-
Talogtog,University of Cordilleras,64.51,85.3,3 rides
Talogtog,Central Luzon State University,90.3,86.9,3 rides
Talogtog,University of Baguio,65.49,88.9,3 rides
Talogtog,DMMMSU – Mid La Union Campus (MLUC),68.72,89.3,2 rides
Talogtog,Saint Louis University - Baguio,66.16,90.5,3 rides
Talogtog,Benguet State University - La Trinidad,70.46,98.8,3 rides
Talogtog,Philippine Military Academy,71.14,99.0,3 rides
Talogtog,Polytechnic University of the Philippines - Manila,201.09,169.2,4 rides
Talogtog,University of the Philippines - Diliman,200.57,169.3,4 rides
Talogtog,University of the Philippines - Manila,202.2,172.9,4 rides
Talogtog,Maritime Academy of Asia and the Pacific,214.86,182.9,3 rides
Tulnac,University of Eastern Pangasinan,12.27,15.5,2 rides
Tulnac,Pangasinan State University - Urdaneta City,19.28,20.7,2 rides
Tulnac,Urdaneta City University,21.64,23.3,3 rides
Tulnac,Pangasinan State University - Asingan,27.63,30.6,3 rides
Tulnac,University of Pangasinan - PHINMA,23.12,38.2,3 rides
Tulnac,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,32.23,38.4,2 rides
Tulnac,Pangasinan Merchant Marine Academy,23.73,39.5,3 rides
Tulnac,Lyceum-Northwestern University,25.05,42.3,3 rides
Tulnac,DMMMSU – South La Union Campus  (SLUC) - Agoo,38.46,47.0,2 rides
Tulnac,University of the Philippines - Baguio,48.38,60.2,3 rides
Tulnac,Pangasinan State University - Bayambang,50.7,63.1,3 rides
Tulnac,Pangasinan State University - Lingayen,40.08,64.3,4 rides
Tulnac,Pangasinan Polytechnic College,40.34,64.6,4 rides
Tulnac,Tarlac State University - Tarlac,81.52,73.1,2 rides
Tulnac,UP Manila School of Health Sciences - Tarlac,82.77,74.8,-
Tulnac,University of Cordilleras,66.03,87.2,3 rides
Tulnac,Central Luzon State University,91.83,88.9,3 rides
Tulnac,University of Baguio,67.02,90.7,3 rides
Tulnac,DMMMSU – Mid La Union Campus (MLUC),70.24,91.2,2 rides
Tulnac,Saint Louis University - Baguio,67.69,92.4,3 rides
Tulnac,Benguet State University - La Trinidad,71.99,100.6,3 rides
Tulnac,Philippine Military Academy,72.66,100.9,3 rides
Tulnac,Polytechnic University of the Philippines - Manila,202.62,171.1,4 rides
Tulnac,University of the Philippines - Diliman,202.1,171.2,4 rides
Tulnac,University of the Philippines - Manila,203.73,174.9,4 rides
Tulnac,Maritime Academy of Asia and the Pacific,216.39,184.9,3 rides
Villegas,University of Eastern Pangasinan,10.12,12.5,2 rides
Villegas,Pangasinan State University - Urdaneta City,17.13,17.7,2 rides
Villegas,Urdaneta City University,19.49,20.3,3 rides
Villegas,Pangasinan State University - Asingan,25.48,27.6,3 rides
Villegas,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,31.34,37.5,2 rides
Villegas,DMMMSU – South La Union Campus  (SLUC) - Agoo,37.56,46.1,2 rides
Villegas,University of Pangasinan - PHINMA,27.76,46.3,3 rides
Villegas,Pangasinan Merchant Marine Academy,28.36,47.7,3 rides
Villegas,Lyceum-Northwestern University,29.69,50.5,3 rides
Villegas,University of the Philippines - Baguio,47.48,59.3,3 rides
Villegas,Pangasinan State University - Bayambang,48.55,60.1,3 rides
Villegas,Tarlac State University - Tarlac,79.37,70.1,2 rides
Villegas,Pangasinan State University - Lingayen,59.9,70.7,4 rides
Villegas,Pangasinan Polytechnic College,60.17,70.9,4 rides
Villegas,UP Manila School of Health Sciences - Tarlac,80.62,71.8,-
Villegas,Central Luzon State University,89.68,85.9,3 rides
Villegas,University of Cordilleras,65.13,86.3,3 rides
Villegas,University of Baguio,66.12,89.8,3 rides
Villegas,DMMMSU – Mid La Union Campus (MLUC),69.34,90.3,2 rides
Villegas,Saint Louis University - Baguio,66.79,91.5,3 rides
Villegas,Benguet State University - La Trinidad,71.09,99.7,3 rides
Villegas,Philippine Military Academy,71.77,100.0,3 rides
Villegas,Polytechnic University of the Philippines - Manila,200.47,168.1,4 rides
Villegas,University of the Philippines - Diliman,199.95,168.2,4 rides
Villegas,University of the Philippines - Manila,201.58,171.9,4 rides
Villegas,Maritime Academy of Asia and the Pacific,214.24,181.9,3 rides
