Barangay,University,Distance (km),Time (mins),Rides
Bobonan,Pangasinan State University - Bayambang,51.2,60.0,2 rides
Bobonan,Tarlac State University - Tarlac,80.53,67.2,1 ride
Bobonan,Pangasinan State University - Lingayen,44.39,68.6,4 rides
Bobonan,Pangasinan Polytechnic College,44.65,68.8,4 rides
Bobonan,UP Manila School of Health Sciences - Tarlac,81.79,68.8,-
Bobonan,University of Cordilleras,60.92,79.7,2 rides
Bobonan,DMMMSU – Mid La Union Campus (MLUC),63.7,82.5,1 ride
Bobonan,Central Luzon State University,90.84,82.9,2 rides
Bobonan,University of Baguio,61.9,83.2,2 rides
Bobonan,Saint Louis University - Baguio,62.57,84.8,2 rides
Bobonan,Benguet State University - La Trinidad,66.87,93.1,2 rides
Bobonan,Philippine Military Academy,67.55,93.4,2 rides
Bobonan,Polytechnic University of the Philippines - Manila,201.64,165.2,3 rides
Bobonan,University of the Philippines - Diliman,201.12,165.3,3 rides
Bobonan,University of the Philippines - Manila,202.74,168.9,3 rides
Bobonan,Maritime Academy of Asia and the Pacific,215.4,178.9,2 rides
Buneg,University of Eastern Pangasinan,8.53,9.9,2 rides
Buneg,Pangasinan State University - Urdaneta City,15.54,15.1,2 rides
Buneg,Urdaneta City University,17.9,17.7,3 rides
Buneg,Pangasinan State University - Asingan,23.89,25.0,3 rides
Buneg,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,31.67,38.2,2 rides
Buneg,DMMMSU – South La Union Campus  (SLUC) - Agoo,37.89,46.8,2 rides
Buneg,University of Pangasinan - PHINMA,32.96,46.9,3 rides
Buneg,Pangasinan Merchant Marine Academy,44.51,47.0,3 rides
Buneg,Lyceum-Northwestern University,46.4,49.7,3 rides
Buneg,Pangasinan State University - Bayambang,46.96,57.5,3 rides
Buneg,University of the Philippines - Baguio,47.82,60.0,3 rides
Buneg,Tarlac State University - Tarlac,77.78,67.5,2 rides
Buneg,Pangasinan State University - Lingayen,58.31,68.1,4 rides
Buneg,Pangasinan Polytechnic College,58.58,68.4,4 rides
Buneg,UP Manila School of Health Sciences - Tarlac,79.03,69.2,-
